Filial;Codigo Imp.;Status;Data Import.;Hora Import.;Data Proc.;Hora Proc.;Msg. Erro;Contrato;Versao Ctr.;Cod Plano;Versao;Valor;LOG;Usuario;Cod Emp;Arquivo;Total Vidas;Dt. Ult Atua;Hr. Ult Alte;Vidas Proc.;Tp. Cob
001001-MEDICAR RIBEIRAO;000000031;Finalizado;27/05/2025;09:10;28/05/2025;08:52;;001007145;001;0030;001;1;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\27.05.2025\Multibucal-ArquivoMedicar05-;1899;28/05/2025;08:52;1899;
001001-MEDICAR RIBEIRAO;000000032;Finalizado;27/05/2025;11:04;27/05/2025;11:25;;001015367;001;0065;001;28,49;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\27.05.2025\AUTEM ENGENHARIA.csv;188;27/05/2025;11:25;188;
001001-MEDICAR RIBEIRAO;000000033;Finalizado;28/05/2025;10:13;28/05/2025;10:22;;002329474;001;0065;001;24,24;;andrey.campos;0005;C:\Users\andrey.campos\Downloads\raizen.csv;30;28/05/2025;10:22;30;
001001-MEDICAR RIBEIRAO;000000034;Finalizado;30/05/2025;10:02;30/05/2025;10:12;;002329503;001;0054;001;25;;andrey.campos;0005;C:\Users\andrey.campos\Downloads\primer midia.csv;17;30/05/2025;10:12;17;
001001-MEDICAR RIBEIRAO;000000035;Finalizado;05/06/2025;07:52;05/06/2025;09:24;;001021824;001;0030;001;2,71;Reenvio forçado pelo usuario: naomi.souza / Data: 05/06/2025 / Hora: 08:39:40;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\05.06.2025\MEDICAR INCLUSOES ANAFE GER;5966;05/06/2025;09:24;5966;
001001-MEDICAR RIBEIRAO;000000036;Finalizado;06/06/2025;16:57;09/06/2025;09:08;;000023099;001;0030;001;8,5;Reenvio forçado pelo usuario: naomi.souza / Data: 09/06/2025 / Hora: 08:46:07;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\06.06.2025\StaCasa_Ribeirão_BaseMedica;3463;09/06/2025;09:08;3463;
001001-MEDICAR RIBEIRAO;000000037;Finalizado;09/06/2025;11:05;09/06/2025;11:14;;002326776;001;0030;001;0,01;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\09.06.2025\UTI_Movel_20250603.csv;460;09/06/2025;11:14;460;
001001-MEDICAR RIBEIRAO;000000038;Finalizado;10/06/2025;08:51;10/06/2025;09:15;;002329564;001;0065;001;16,3;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\10.06.2025\IPM - 10.06.2025.csv;509;10/06/2025;09:15;509;
001001-MEDICAR RIBEIRAO;000000039;Finalizado;11/06/2025;09:34;11/06/2025;19:47;;001007454;001;0030;001;1,5;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\11.06.2025\UNAFISCO_235_01062025.csv;32372;11/06/2025;19:47;32372;
001001-MEDICAR RIBEIRAO;000000040;Finalizado;16/06/2025;13:24;16/06/2025;13:43;;002328506;001;0030;001;12;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\16.06.2025\Lista Mialich Medicar - 12.;1547;16/06/2025;13:43;1547;
001001-MEDICAR RIBEIRAO;000000041;Finalizado;17/06/2025;15:30;17/06/2025;15:44;;002327502;001;0051;001;9,9;;naomi.souza;0004;C:\Users\naomi.souza\Downloads\WP_ENGENHARIA.csv;298;17/06/2025;15:44;298;
001001-MEDICAR RIBEIRAO;000000042;Finalizado;23/06/2025;10:05;23/06/2025;10:15;;001023482;001;0030;001;0,01;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\23.06.2025\UTI_Movel_20250622.csv;626;23/06/2025;10:15;626;
001001-MEDICAR RIBEIRAO;000000043;Finalizado;25/06/2025;14:00;25/06/2025;14:12;;001007145;001;0030;001;1;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\25.06.2025\Multibucal-ArquivoMedicar06;1732;25/06/2025;14:12;1732;
001001-MEDICAR RIBEIRAO;000000044;Finalizado;27/06/2025;15:22;27/06/2025;15:47;;002327697;001;0051;001;29,49;;clayton.rotta;0004;C:\Users\clayton.rotta\OneDrive\Medicar\Contratos Privados\Processamentos de arquivo\2025-06-27 - Pa;397;27/06/2025;15:47;397;
001001-MEDICAR RIBEIRAO;000000045;Finalizado;30/06/2025;10:10;30/06/2025;10:14;;002326776;001;0030;001;0,01;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\30.06.2025\UTI_Movel_20250627.csv;459;30/06/2025;10:14;459;
001001-MEDICAR RIBEIRAO;000000046;Finalizado;30/06/2025;10:52;30/06/2025;11:05;;001023482;001;0030;001;0,01;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\30.06.2025\UTI_Movel_20250629.csv;626;30/06/2025;11:05;626;
001001-MEDICAR RIBEIRAO;000000047;Finalizado;03/07/2025;14:18;04/07/2025;03:08;;001007454;001;0030;001;1,5;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\07 - JULHO\03.07.2025\UNAFISCO_235_01072025.csv;31977;04/07/2025;03:08;31977;
001001-MEDICAR RIBEIRAO;000000048;Finalizado;04/07/2025;09:58;04/07/2025;10:17;;002327697;001;0051;001;29,49;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\07 - JULHO\04.07.2025\PALMONT CONSTRUCAO E MONTAG;397;04/07/2025;10:17;397;
001001-MEDICAR RIBEIRAO;000000049;Em Andamento;04/07/2025;10:46;  /  /;;;000023099;001;0030;001;8,5;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\07 - JULHO\04.07.2025\StaCasa_Ribeirão_BaseMedica;3441;04/07/2025;11:01;226;
001001-MEDICAR RIBEIRAO;000000050;Finalizado;07/07/2025;09:47;07/07/2025;10:47;;000023099;001;0030;001;8,5;Reenvio forçado pelo usuario: naomi.souza / Data: 07/07/2025 / Hora: 10:24:25;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\07 - JULHO\07.07.2025\StaCasa_Ribeirão_BaseMedica;3441;07/07/2025;10:47;3441;
001001-MEDICAR RIBEIRAO;000000051;Finalizado;07/07/2025;13:22;07/07/2025;14:04;;001021824;001;0030;001;2,71;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\07 - JULHO\07.07.2025\MEDICAR INCLUSOES ANAFE GER;6070;07/07/2025;14:04;6070;
001001-MEDICAR RIBEIRAO;000000052;Finalizado;10/07/2025;15:37;11/07/2025;03:27;;001007454;001;0030;001;1,5;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\07 - JULHO\10.07.2025\UNAFISCO_235_01072025.csv;32368;11/07/2025;03:27;32368;
001001-MEDICAR RIBEIRAO;000000053;Finalizado;17/07/2025;10:53;17/07/2025;11:16;;002328506;001;0030;001;12;;arnaldo.silva;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\07 - JULHO\17.07.2025\2025 07 dia 15 Lista Mialic;1540;17/07/2025;11:16;1540;
001001-MEDICAR RIBEIRAO;000000054;Finalizado;17/07/2025;15:21;17/07/2025;15:24;;001016092;001;0065;001;26,9;;arnaldo.silva;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\07 - JULHO\17.07.2025\L.S. COELHO MÃO DE OBRA LTD;86;17/07/2025;15:24;86;
001001-MEDICAR RIBEIRAO;000000055;Finalizado;21/07/2025;07:49;21/07/2025;07:54;;001023482;001;0030;001;0,01;;arnaldo.silva;0005;C:\Users\arnaldo.silva\Downloads\UTI_Movel_20250720.csv;629;21/07/2025;07:54;629;
002001-MEDICAR CAMPINAS;000000001;Finalizado;24/03/2025;08:34;24/03/2025;16:45;;001006423;001;0030;001;9,55;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\03 - MARÇO\24.03.2025\2care-medicar-202503230000.;;  /  /;;;
002001-MEDICAR CAMPINAS;000000002;Finalizado;25/03/2025;12:30;26/03/2025;13:21;;001003487;001;0030;001;7,9;;emily.oliveira;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\03 - MARÇO\25.03.2025\DOCTOR_PRIME_25032025.csv;;  /  /;;;
002001-MEDICAR CAMPINAS;000000003;Finalizado;01/04/2025;08:26;01/04/2025;19:54;;001006423;001;0030;001;9,55;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\01.04.2025\2care-medicar-202503300000.;;  /  /;;;
002001-MEDICAR CAMPINAS;000000004;Finalizado;08/04/2025;11:23;08/04/2025;19:06;;001006423;001;0030;001;9,55;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\08.04.2025\2care-medicar-202504060000.;;  /  /;;;
002001-MEDICAR CAMPINAS;000000005;Finalizado;09/04/2025;10:47;09/04/2025;19:37;;001003487;001;0030;001;7,9;;emily.oliveira;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\09.04.2025\DOCTOR_PRIME_09032026.csv;;  /  /;;;
002001-MEDICAR CAMPINAS;000000006;Finalizado;10/04/2025;09:29;10/04/2025;09:41;;001004168;001;0030;001;8,12;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\10.04.2025\LAYOUT_SESCAMP.csv;;  /  /;;;
002001-MEDICAR CAMPINAS;000000007;Finalizado;10/04/2025;11:00;12/04/2025;05:05;;001003418;001;0030;001;1,9;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\10.04.2025\RELATORIO DE VIDAS MEDICAR;;  /  /;;;
002001-MEDICAR CAMPINAS;000000008;Finalizado;14/04/2025;09:25;14/04/2025;16:08;;001003487;001;0030;001;7,9;;emily.oliveira;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\14.04.2025\DOCTOR_PRIME_14042025.csv;;  /  /;;;
002001-MEDICAR CAMPINAS;000000009;Finalizado;14/04/2025;16:23;15/04/2025;02:02;;001006423;001;0030;001;9,55;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\14.04.2025\2care-medicar-202504130000.;;  /  /;;;
002001-MEDICAR CAMPINAS;000000010;Finalizado;16/04/2025;07:41;05/05/2025;10:05;;001020292;001;0030;001;1,4719;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\16.04.2025\KR_SAUDE_MEDCAR_ABRIL_2025.;;  /  /;;;
002001-MEDICAR CAMPINAS;000000011;Finalizado;22/04/2025;08:43;22/04/2025;13:59;;001006423;001;0030;001;9,55;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\22.04.2025\2care-medicar-202504200000.;;  /  /;;;
002001-MEDICAR CAMPINAS;000000012;Finalizado;24/04/2025;09:58;24/04/2025;14:19;;001003487;001;0030;001;7,9;;emily.oliveira;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\24.04.2025\DOCTOR_PRIME_23042026.csv;;  /  /;;;
002001-MEDICAR CAMPINAS;000000013;Finalizado;28/04/2025;08:18;28/04/2025;12:53;;001006423;001;0030;001;9,55;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\28.04.2025\2care-medicar-202504270000.;;  /  /;;;
002001-MEDICAR CAMPINAS;000000014;Finalizado;05/05/2025;13:47;05/05/2025;14:51;;001006423;001;0030;001;9,55;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\05.05.2025\2care-medicar-202505040000.c;;  /  /;;;
002001-MEDICAR CAMPINAS;000000015;Finalizado;07/05/2025;14:17;07/05/2025;14:44;;002329359;001;0049;001;1,4719;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\16.04.2025\OK\KR_SAUDE_MEDCAR_ABRIL_20;;  /  /;;;
002001-MEDICAR CAMPINAS;000000016;Finalizado;08/05/2025;11:03;04/07/2025;19:20;;002329361;001;0049;001;1,4719;Reenvio forçado pelo usuario: clayton.rotta / Data: 04/07/2025 / Hora: 19:16:22;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\04 - ABRIL\16.04.2025\OK\KR_SAUDE_MEDCAR_ABRIL_20;571;04/07/2025;19:20;571;
002001-MEDICAR CAMPINAS;000000017;Finalizado;09/05/2025;17:41;09/05/2025;23:40;;001003418;001;0030;001;1,9;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\09.05.2025\RELATORIO DE VIDAS MEDICAR -;68300;09/05/2025;23:40;68300;
002001-MEDICAR CAMPINAS;000000018;Finalizado;13/05/2025;14:04;13/05/2025;14:41;;001006423;001;0030;001;9,55;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\13.05.2025\2care-medicar-202505110000.c;7809;13/05/2025;14:41;7809;
002001-MEDICAR CAMPINAS;000000019;Finalizado;19/05/2025;13:47;19/05/2025;14:38;;001003487;001;0030;001;7,9;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\19.05.2025\DOCTOR_PRIME_19052025.csv;6567;19/05/2025;14:38;6567;
002001-MEDICAR CAMPINAS;000000020;Finalizado;21/05/2025;08:33;21/05/2025;09:10;;001006423;001;0030;001;9,55;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\21.05.2025\2care-medicar-202505180000.c;7809;21/05/2025;09:10;7809;
002001-MEDICAR CAMPINAS;000000021;Finalizado;26/05/2025;09:06;26/05/2025;09:44;;001006423;001;0030;001;9,55;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\26.05.2025\2care-medicar-202505250000.c;7801;26/05/2025;09:44;7801;
002001-MEDICAR CAMPINAS;000000022;Finalizado;26/05/2025;13:34;26/05/2025;14:34;;001003487;001;0030;001;7,9;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\26.05.2025\DOCTOR_PRIME_26052025.csv;6322;26/05/2025;14:34;6322;
002001-MEDICAR CAMPINAS;000000023;Finalizado;30/05/2025;13:39;30/05/2025;13:41;;001014533;001;0030;001;82,3947;;naomi.souza;0004;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\05 - MAIO\30.05.2025\SAUDE_PREVENTIVA_30052025.cs;19;30/05/2025;13:41;19;
002001-MEDICAR CAMPINAS;000000024;Finalizado;11/06/2025;07:57;11/06/2025;08:44;;001006423;001;0030;001;9,55;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\11.06.2025\2care-medicar-202506080000.;7782;11/06/2025;08:44;7782;
002001-MEDICAR CAMPINAS;000000025;Finalizado;13/06/2025;17:18;14/06/2025;04:52;;001003418;001;0030;001;1,9;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\13.06.2025\RELATORIO DE VIDAS MEDICAR;68231;14/06/2025;04:52;68231;
002001-MEDICAR CAMPINAS;000000026;Finalizado;16/06/2025;15:02;16/06/2025;15:14;;002329535;001;0065;001;35,9;;clayton.rotta;0004;C:\Users\clayton.rotta\OneDrive\Medicar\Contratos Privados\Processamentos de arquivo\2025-06-16 - Sm;48;16/06/2025;15:14;48;
002001-MEDICAR CAMPINAS;000000027;Finalizado;18/06/2025;10:45;18/06/2025;11:34;;001006423;001;0030;001;9,55;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\18.06.2025\2care-medicar-202506150000.;7774;18/06/2025;11:34;7774;
002001-MEDICAR CAMPINAS;000000028;Finalizado;23/06/2025;09:52;23/06/2025;10:46;;001006423;001;0030;001;9,55;;naomi.souza;0005;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2025\06 - JUNHO\23.06.2025\2care-medicar-202506220000.;7770;23/06/2025;10:46;7770;
