Dt.Ref: 19/07/2025;;;;;;;;;
;;;;;;;;;
Hora: 17:30:08;;;;;;;;;
;;;;;;;;;
Emissão: 19/07/2025;;;;;;;;;
;;;;;;;;;
Filial;Status;Codigo;Arquivo;Data;Hora;CONTRAT;Versao;Valor;Tipo Cob
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000015;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\05 - MAIO\TOTVS\CLIENTES_SUPREMED_MEDICAR_20240522.csv;23/05/2024;08:43:58;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000016;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\05 - MAIO\TOTVS\CLIENTES_SUPREMED_MEDICAR_20240522.csv;23/05/2024;10:04:00;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000017;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\05 - MAIO\TOTVS\CANTINHO DO CEU 156.csv;24/05/2024;08:48:35;10010005000000000014001002326568001;001;17,1200;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000018;C:\Users\naomi.souza\Downloads\ABETMedCar_OMT.csv;27/05/2024;09:00:42;10010005000000000005001001009467001;001;2,6800;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000019;C:\Users\naomi.souza\Downloads\ABETMedCar_APH.csv;27/05/2024;09:05:59;10010005000000000010001001009469001;001;2,6800;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000020;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\05 - MAIO\TOTVS\Multibucal-ArquivoMedicar05-2024.csv;28/05/2024;09:55:52;10010004000000000010001001007145001;001;1,2435;APENAS O TITULAR
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000021;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\05 - MAIO\TOTVS\Multibucal-ArquivoMedicar05-2024.csv;28/05/2024;10:34:03;10010004000000000010001001007145001;001;1,2435;APENAS O TITULAR
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000022;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\05 - MAIO\TOTVS\Multibucal-ArquivoMedicar05-2024.csv;28/05/2024;11:07:47;10010004000000000010001001007145001;001;1,2435;APENAS O TITULAR
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000023;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\Multibucal-ArquivoMedicar05-2024.csv;03/06/2024;10:52:11;10010004000000000010001001007145001;001;1,2461;APENAS O TITULAR
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000024;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\Multibucal-ArquivoMedicar05-2024.csv;03/06/2024;14:23:42;10010004000000000010001001007145001;001;1,2474;APENAS O TITULAR
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000025;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\Multibucal-ArquivoMedicar05-2024.csv;03/06/2024;14:55:16;10010004000000000010001001007145001;001;1,2422;APENAS O TITULAR
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000026;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\Multibucal-ArquivoMedicar05-2024 - Ok.csv;04/06/2024;09:09:21;10010004000000000010001001007145001;001;1,2461;APENAS O TITULAR
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000027;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\Multibucal-ArquivoMedicar05-2024.csv;04/06/2024;09:52:40;10010004000000000010001001007145001;001;1,2422;APENAS O TITULAR
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000028;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\AmplaMais - Relatório Medicar - 03-06-2024.csv;04/06/2024;13:27:25;10010004000000000010001000021008001;001;0,6000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000029;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\05.06.2024\MEDICAR INCLUSOES ANAFE GERAL Junho.2024.csv;05/06/2024;15:36:01;10010005000000000010001001021824001;001;2,5800;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000031;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\07.06.2024\UTI_Movel_20240604_p.csv;07/06/2024;09:07:36;10010005000000000010001001023482001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000032;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\CLIENTES_SUPREMED_MEDICAR_20240605.csv;07/06/2024;10:25:33;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000033;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\13.06.2024\MEDICAR INCLUSOES ANAFE GERAL Junho.2024.2 .csv;13/06/2024;15:11:41;10010005000000000010001001021824001;001;2,5800;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000034;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\AmplaMais - Relatório Medicar - 11-06-2024.csv;13/06/2024;16:12:11;10010004000000000010001000021008001;001;0,6000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000035;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\CLIENTES_SUPREMED_MEDICAR_20240612.csv;14/06/2024;10:13:23;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000036;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\CLIENTES_SUPREMED_MEDICAR_20240605v2 (1).csv;14/06/2024;15:32:15;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000037;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\DISK_22032024.csv;17/06/2024;09:11:14;10010004000000000005001001026429001;001;0,5000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000038;C:\Users\naomi.souza\Downloads\import.csv;17/06/2024;10:17:02;10010005000000000027001000015141001;001;24,6000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000039;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\DISK_22032024.csv;17/06/2024;14:04:52;10010004000000000005001001026429001;001;0,5000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000040;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\DISK_22032024.csv;18/06/2024;08:44:09;10010004000000000005001001026429001;001;0,5000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000041;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\LOTE TESTE SUPREMED 20240618.csv;21/06/2024;08:15:04;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000042;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\import_BALDOCCHI.csv;24/06/2024;08:48:49;10010005000000000027001000019448001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000043;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\import_BALDOCCHI.csv;24/06/2024;12:10:27;10010005000000000027001000019448001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000044;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\TOTVS\ArquivoMedicar06-2024.csv;24/06/2024;12:48:24;10010004000000000010001001007145001;001;1,3889;APENAS O TITULAR
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000045;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\06 - JUNHO\26.06.2024\Ampla Mais - Relatório Medicar - 21-06-2024.csv;26/06/2024;12:00:51;10010004000000000010001000021008001;001;0,6000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000046;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\01.07.2024\UTI_Movel_20240626.csv;01/07/2024;07:42:15;10010005000000000010001001023482001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000047;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\01.07.2024\UTI_Movel_20240630.csv;01/07/2024;12:32:23;10010005000000000010001001023482001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000049;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\01.07.2024\MEDICAR INCLUSOES ANAFE GERAL Julho.2024 parte2;01/07/2024;14:39:54;10010005000000000010001001021824001;001;2,5800;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000050;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\03.07.2024\UNAFISCO_235_01072024.csv;03/07/2024;09:10:48;10010005000000000010001001007454001;001;1,5000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000051;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\04.07.2024\UNAFISCO_235_01072024 (2).csv;04/07/2024;08:50:04;10010005000000000010001001007454001;001;1,5000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000052;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\04.07.2024\UNAFISCO_235_01072024 (2).csv;04/07/2024;16:52:02;10010005000000000010001001007454001;001;1,5000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000053;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\05.07.2024\CLIENTES_SUPREMED_MEDICAR_20240703.csv;05/07/2024;13:19:43;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000054;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\05.07.2024\CLIENTES_SUPREMED_MEDICAR_20240703 (2).csv;05/07/2024;14:24:32;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000055;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\TOTVS\UNAFISCO_235_01072024 (2).csv;05/07/2024;15:41:48;10010005000000000010001001007454001;001;1,5000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000056;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\05.07.2024\UTI_Movel_20240704.csv;05/07/2024;16:03:09;10010005000000000010001001023482001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000057;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\TOTVS\UNAFISCO_235_01072024 (2).csv;10/07/2024;10:54:42;10010005000000000010001001007454001;001;1,5000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000058;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\10.07.2024\Ampla Mais - Relatório Medicar - 04-07-2024.csv;10/07/2024;10:47:44;10010004000000000010001000021008001;001;0,6000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000059;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\10.07.2024\Ampla Mais - Relatório Medicar - 04-07-2024.csv;10/07/2024;12:10:14;10010004000000000010001000021008001;001;0,6000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000060;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\11.07.2024\CLIENTES_SUPREMED_MEDICAR_20240710.csv;11/07/2024;09:16:42;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000061;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\11.07.2024\CLIENTES_SUPREMED_MEDICAR_20240710.csv;11/07/2024;10:30:31;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000062;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\11.07.2024\MEDICAR INCLUSOES ANAFE GERAL Julho.2024 parte3;11/07/2024;11:53:35;10010005000000000010001001021824001;001;2,5800;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000063;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\11.07.2024\UTI_Movel_20240708.csv;11/07/2024;17:18:16;10010005000000000010001002326776001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000064;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\15.07.2024\Ampla Mais - Relatório Medicar - 12-07-2024.csv;15/07/2024;08:45:05;10010004000000000010001000021008001;001;0,6000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000065;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\15.07.2024\UTI_Movel_20240714.csv;15/07/2024;11:01:48;10010005000000000010001001023482001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000066;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\22.07.2024\CLIENTES_SUPREMED_MEDICAR_20240717.csv;22/07/2024;13:19:55;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000067;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\22.07.2024\CLIENTES_SUPREMED_MEDICAR_20240717.csv;22/07/2024;14:23:41;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000068;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\22.07.2024\PLANILHA MEDICAR I - 18 JULHO 2024 - CONSULTA C;22/07/2024;16:09:28;10010004000000000005001001014911001;001;1,2500;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000069;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\23.07.2024\UTI_Movel_20240722.csv;23/07/2024;14:32:35;10010005000000000010001001023482001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000070;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\24.07.2024\CLIENTES_SUPREMED_MEDICAR_20240724.csv;24/07/2024;08:47:59;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000071;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\24.07.2024\UTI_Movel_20240723_2.csv;24/07/2024;13:26:39;10010005000000000010001002326776001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000072;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\24.07.2024\UTI_Movel_20240723.csv;24/07/2024;13:52:28;10010005000000000010001001023482001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000073;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\24.07.2024\STACASA_RP_MEDICAR_18JUL24.csv;24/07/2024;15:55:49;10010004000000000010001000023099001;001;8,5000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000074;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\25.07.2024\Multibucal_ArquivoMedicar07-2024.csv;25/07/2024;09:39:59;10010004000000000010001001007145001;001;1,2346;APENAS O TITULAR
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000075;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\25.07.2024\Multibucal_ArquivoMedicar07-2024.csv;25/07/2024;10:27:32;10010004000000000010001001007145001;001;1,2346;APENAS O TITULAR
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000076;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\26.07.2024\MEDICAR INCLUSOES ANAFE GERAL Agosto.2024.csv;26/07/2024;12:33:24;10010005000000000010001001021824001;001;2,5800;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000077;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\26.07.2024\UTI_Movel_20240725.csv;26/07/2024;16:14:41;10010005000000000010001001023482001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000078;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\07 - JULHO\31.07.2024\UTI_Movel_20240730.csv;31/07/2024;15:28:24;10010005000000000010001001023482001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000079;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\08 - AGOSTO\02.08.2024\CLIENTES_SUPREMED_MEDICAR_20240731.csv;02/08/2024;09:12:53;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000080;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\08 - AGOSTO\05.08.2024\UNAFISCO_235_01082024.csv;05/08/2024;12:59:56;10010005000000000010001001007454001;001;1,5000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000081;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\08 - AGOSTO\05.08.2024\UTI_Movel_20240804.csv;05/08/2024;16:24:17;10010005000000000010001001023482001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000082;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\08 - AGOSTO\07.08.2024\CLIENTES_SUPREMED_MEDICAR_20240807.csv;07/08/2024;13:08:34;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000083;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\08 - AGOSTO\07.08.2024\CLIENTES_SUPREMED_MEDICAR_20240807.csv;07/08/2024;13:25:18;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000084;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\08 - AGOSTO\07.08.2024\UNAFISCO_235_01082024.csv;07/08/2024;14:28:54;10010005000000000010001001007454001;001;1,5000;TODOS OS BENEFICIARIOS
Filial;Status;Codigo;Arquivo;Data;Hora;CONTRAT;Versao;Valor;Tipo Cob
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000086;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\08 - AGOSTO\08.08.2024\STACASA_RP_MEDICAR_06AGOSTO24.csv;08/08/2024;14:24:28;10010004000000000010001000023099001;001;8,5000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000087;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\08 - AGOSTO\14.08.2024\CLIENTES_SUPREMED_MEDICAR_20240814.csv;14/08/2024;13:36:24;10010004000000000002001001020615001;001;2,0000;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000088;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\08 - AGOSTO\15.08.2024\UTI_Movel_20240814.csv;15/08/2024;14:01:39;10010005000000000010001002326776001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM SUCESSO;00000089;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\08 - AGOSTO\16.08.2024\UTI_Movel_20240815.csv;16/08/2024;14:02:13;10010005000000000010001001023482001;001;0,0100;TODOS OS BENEFICIARIOS
001001-MEDICAR RIBEIRAO;IMPORTADO COM CRITICA;00000090;X:\CONTRATOS PRIVADOS\IMPORTAÇÃO DE CONTRATOS\2024\08 - AGOSTO\19.08.2024\Ampla Mais - Relatório Medicar - 16-08-2024.cs;19/08/2024;14:45:05;10010004000000000010001000021008001;001;0,6000;TODOS OS BENEFICIARIOS
